"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"SphLip_20",0.0654274099767244,-0.0714974571499579,0.202352277103407,-0.138077397108758,0.948037176141632,0.345401308588647,0.566979506551175,-4.70316833626865,0.0654274099767244,0.345401308588647,0.566979506551175,"Sphingolipids","Sphingomyelin","SM(d18:1/22:0)","HMDB12103","C00550","Sphingolipids","ns"
"SphLip_21",0.020076824432376,-0.17596912799657,0.216122776861322,-0.190902615144073,0.203181942728651,0.839406658290929,0.903122246225573,-4.90739470518589,0.020076824432376,0.839406658290929,0.903122246225573,"Sphingolipids","Sphingomyelin","SM(d16:1/24:1)","HMDB11694",NA,"Sphingolipids","ns"
"SphLip_22",0.00470260846471423,-0.111975820347843,0.121381037277272,-0.23066119192748,0.0799643141286378,0.936425824299091,0.954715391179933,-4.91576068519016,0.00470260846471423,0.936425824299091,0.954715391179933,"Sphingolipids","Sphingomyelin","SM(d18:2/22:0)",NA,NA,"Sphingolipids","ns"
"SphLip_23",0.104732743313577,-0.0543994095074972,0.26386489613465,0.203418317780603,1.30578750570654,0.19462784775219,0.42687284254892,-4.51354161918469,0.104732743313577,0.19462784775219,0.42687284254892,"Sphingolipids","Sphingomyelin","SM(d18:1/23:0)","HMDB12105","C00550","Sphingolipids","ns"
"SphLip_24",0.0446531684848402,-0.129934357626268,0.219240694595948,0.111604106592814,0.507442732889487,0.612964156320635,0.74908063292398,-4.85564750765873,0.0446531684848402,0.612964156320635,0.74908063292398,"Sphingolipids","Sphingomyelin","SM(d18:1/23:1)",NA,NA,"Sphingolipids","ns"
"SphLip_25",0.0328524458156248,-0.107930210027806,0.173635101659055,0.0823942767599,0.462984574277885,0.644383771047801,0.774788638466107,-4.86595946709924,0.0328524458156248,0.644383771047801,0.774788638466107,"Sphingolipids","Sphingomyelin","SM(d18:2/23:0)",NA,NA,"Sphingolipids","ns"
"SphLip_26_SphLip_27",0.018175489774742,-0.105233775146772,0.141584754696256,-0.213745070925277,0.292204113045885,0.770737364135761,0.871650966439073,-4.89682621328749,0.018175489774742,0.770737364135761,0.871650966439073,"Sphingolipids","Sphingomyelin","SM(d18:1/24:1) + SM(d18:2/24:0)",NA,NA,"Sphingolipids","ns"
"SphLip_28",-0.0110419658643138,-0.121606649131261,0.0995227174026336,-0.297791357208005,-0.198142638425066,0.843336658324662,0.903122246225573,-4.90787953623538,-0.0110419658643138,0.843336658324662,0.903122246225573,"Sphingolipids","Sphingomyelin","SM(42:3)",NA,NA,"Sphingolipids","ns"
"SphLip_29",-0.0241152226656633,-0.19977012695579,0.151539681624463,-0.130639398400329,-0.272382351011759,0.785890992524759,0.878205901615743,-4.89950744656212,-0.0241152226656633,0.785890992524759,0.878205901615743,"Sphingolipids","Sphingomyelin","SM(d18:2/14:0)",NA,NA,"Sphingolipids","ns"
"SphLip_30",0.0859636888047318,-0.0635738126387833,0.235501190248247,-0.202437374540096,1.14054622385985,0.256789435150618,0.492809136575819,-4.60832045952802,0.0859636888047318,0.256789435150618,0.492809136575819,"Sphingolipids","Sphingomyelin","SM(42:1)",NA,NA,"Sphingolipids","ns"
